stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
138,138,Centre de Salut República Argentina,Sants Just i Pastor 9 - VALÈNCIA,39.4710657373507,-0.352690377644595,,,0,,0
139,139,Sants Just i Pastor - Lluís de Milà,Sants Just i Pastor 22 - VALÈNCIA,39.4707631364486,-0.352202282307693,,,0,,0
140,140,Sants Just i Pastor (parell) - Metro Amistat,Sants Just i Pastor 56 - VALÈNCIA,39.4698352412998,-0.34907437368705,,,0,,0
141,141,Sants Just i Pastor - Peris Brell,Sants Just i Pastor 78 - VALÈNCIA,39.4690251066334,-0.346274448397404,,,0,,0
144,144,Doctor Manuel Candela (parell) - Rodríguez de Cepeda,Doctor Manuel Candela 28 - VALÈNCIA,39.4683061653759,-0.350002862411291,,,0,,0
145,145,Doctor Manuel Candela (parell) - Blasco Ibáñez,Doctor Manuel Candela 72 - VALÈNCIA,39.4728058788359,-0.348165278599857,,,0,,0
150,150,Cardenal Benlloch (parell) - Port,Cardenal Benlloch 6 - VALÈNCIA,39.4675814879095,-0.356182176239999,,,0,,0
153,153,Cardenal Benlloch - Doctor Vicente Pallarés,Cardenal Benlloch 104 - VALÈNCIA,39.4742220331948,-0.352916079914028,,,0,,0
154,154,Blasco Ibáñez - Rubén Darío,Blasco Ibáñez 37 (BARDISSA LATERAL) - VALÈNCIA,39.4758461920743,-0.353876682314694,,,0,,0
155,155,Blasco Ibáñez - Almela i Vives,Blasco Ibáñez 31 - VALÈNCIA,39.4767781384897,-0.356169375748774,,,0,,0
157,157,Blasco Ibáñez - Gascó Oliag,Blasco Ibáñez 25 - VALÈNCIA,39.4771903854985,-0.357628377042021,,,0,,0
158,158,Blasco Ibáñez - Facultat de Psicologia,Blasco Ibáñez 21 DUP. - VALÈNCIA,39.4779194726762,-0.360060859276868,,,0,,0
160,160,Blasco Ibáñez (imparell) - Hospitals,Blasco Ibáñez 17 - VALÈNCIA,39.4789048394776,-0.36343598431311,,,0,,0
162,162,Blasco Ibáñez - Jaume Roig,Blasco Ibáñez 7 - VALÈNCIA,39.4795680038677,-0.365549666790116,,,0,,0
163,163,Blasco Ibáñez - Jardí de Monforte,Blasco Ibáñez 2 - VALÈNCIA,39.4788524158214,-0.365665405397575,,,0,,0
164,164,Blasco Ibáñez - Rectorat,Blasco Ibáñez BARDISSA CENTRAL(J.ROIG) - VALÈNCIA,39.4790674235598,-0.365093523227765,,,0,,0
165,165,Blasco Ibáñez (parell) - Hospitals,Blasco Ibáñez 18 - VALÈNCIA,39.478112896758,-0.363160500267464,,,0,,0
166,166,Blasco Ibáñez - Facultat de Geografia,Blasco Ibáñez 28 - VALÈNCIA,39.4775901297358,-0.361381914452936,,,0,,0
167,167,Blasco Ibáñez - Facultat de Filologia,Blasco Ibáñez 32 - VALÈNCIA,39.4769298063058,-0.359158695416252,,,0,,0
168,168,Blasco Ibáñez - Suècia,Blasco Ibáñez 50 (COPUT) - VALÈNCIA,39.4762659178126,-0.356925258832223,,,0,,0
169,169,Blasco Ibáñez - Bèlgica,Blasco Ibáñez 56 (JARDÍ LATERAL) - VALÈNCIA,39.4758318894389,-0.354839995841416,,,0,,0
170,170,Doctor Gómez Ferrer - Menéndez y Pelayo,Doctor Gómez Ferrer 5 (DAVANT) - VALÈNCIA,39.4799149635537,-0.360973212978639,,,0,,0
171,171,Cavanilles - Primat Reig,Cabanilles 7 - VALÈNCIA,39.483979496011,-0.364173078427249,,,0,,0
172,172,Cavanilles - Álvaro de Bazán,Cabanilles 18 (DAVANT) - VALÈNCIA,39.4819517703158,-0.365174084052521,,,0,,0
173,173,Cavanilles - Vivers,Cabanilles 2 (DAVANT) - VALÈNCIA,39.4798904636725,-0.366197002723236,,,0,,0
