service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
26_1027_604_EXC,0,0,0,0,0,0,0,20260908,20261017
27_1060_601,1,1,1,1,0,0,0,20260908,20261017
27_1060_602,0,0,0,0,1,0,0,20260908,20261017
27_1060_603,0,0,0,0,0,1,0,20260908,20261017
27_1060_604,0,0,0,0,0,0,1,20260908,20261017
27_1060_602_EXC,0,0,0,0,0,0,0,20260908,20261017
27_1060_605_EXC,0,0,0,0,0,0,0,20260908,20261017
27_1060_604_EXC,0,0,0,0,0,0,0,20260908,20261017
28_1034_601,1,1,1,1,0,0,0,20260908,20261017
28_1034_602,0,0,0,0,1,0,0,20260908,20261017
28_1034_608,0,0,0,0,0,1,0,20260908,20261017
28_1034_609,0,0,0,0,0,0,1,20260908,20261017
28_1034_602_EXC,0,0,0,0,0,0,0,20260908,20261017
28_1034_609_EXC,0,0,0,0,0,0,0,20260908,20261017
28_1034_610_EXC,0,0,0,0,0,0,0,20260908,20261017
30_982_601,1,1,1,1,1,0,0,20260908,20261017
30_982_603,0,0,0,0,0,1,0,20260908,20261017
30_982_604,0,0,0,0,0,0,1,20260908,20261017
30_982_604_EXC,0,0,0,0,0,0,0,20260908,20261017
31_1053_601,1,1,1,1,1,0,0,20260908,20261017
31_1053_603,0,0,0,0,0,1,0,20260908,20261017
31_1053_604,0,0,0,0,0,0,1,20260908,20261017
31_1053_604_EXC,0,0,0,0,0,0,0,20260908,20261017
32_1029_651,1,1,1,0,1,0,0,20260908,20261017
32_1029_652,0,0,0,1,0,0,0,20260908,20261017
32_1029_653,0,0,0,0,0,1,0,20260908,20261017
32_1029_654,0,0,0,0,0,0,1,20260908,20261017
32_1029_601_EXC,0,0,0,0,0,0,0,20260908,20261017
32_1029_603_EXC,0,0,0,0,0,0,0,20260908,20261017
32_1029_604_EXC,0,0,0,0,0,0,0,20260908,20261017
32_1029_602_EXC,0,0,0,0,0,0,0,20260908,20261017
35_935_601,1,1,1,1,1,0,0,20260908,20261017
35_935_603,0,0,0,0,0,1,0,20260908,20261017
35_935_604,0,0,0,0,0,0,1,20260908,20261017
